colname,colnameDisplay,colType,traitType,levels,comment
X42.Donkere.schijf..voor.opening.van.de.buisbloemen.,X42 Donkere schijf voor opening van de buisbloemen ,trait,factor,,
X43.Schijfbloemen.van.de.buitenste.rijen..hoofdkleur.van.de.bloemdekslippen,X43 Schijfbloemen van de buitenste rijen hoofdkleur van de bloemdekslippen,trait,color,,
X44.Schijfbloemen.van.de.buitenste.rijen..hoofdkleur.van.de.bloemdekslippen,X44 Schijfbloemen van de buitenste rijen hoofdkleur van de bloemdekslippen,trait,factor,,
X44.expressie,X44 expressie,trait,RHS,,
X44.1.Schijfbloemen.van.de.buitenste.rijen..kleurgroep,X44 1 Schijfbloemen van de buitenste rijen kleurgroep,trait,factor,,Actually a color
X45.Schijf..hoofdkleur.van.de.bloemdekslippen.van.de.bisexuele.bloemen,X45 Schijf hoofdkleur van de bloemdekslippen van de bisexuele bloemen,trait,factor,,Actually a color
X46.Stijl..hoofdkleur.van.de.distale.helft,X46 Stijl hoofdkleur van de distale helft,trait,factor,,Actually a color
X47.Stempel..hoofdkleur,X47 Stempel hoofdkleur,trait,factor,,Actually a color
X48.Meeldraden..hoofdkleur,X48 Meeldraden hoofdkleur,trait,factor,,Actually a color
X49.Meeldraden..kleur.van.de.top.t.o.v..de.andere.delen,X49 Meeldraden kleur van de top t o v de andere delen,trait,factor,,Could be ordered. Not sure
X50.Meeldraden..lengtestrepen,X50 Meeldraden lengtestrepen,trait,factor,,
X51.Vruchtpluis..kleur.van.de.top.in.vergelijking.met.die.van.andere.delen,X51 Vruchtpluis kleur van de top in vergelijking met die van andere delen,trait,factor,,Could be ordered. Not sure
X52.Vruchtpluis..niveau.van.de.top.t.o.v..de.gesloten.buisbloemen,X52 Vruchtpluis niveau van de top t o v de gesloten buisbloemen,trait,factor,,
jaartal,jaartal,,factor,,
X3.Plant..hoogte..tijdens.tweede.bloeiperiode.,X3 Plant hoogte tijdens tweede bloeiperiode ,trait,ordered,tall,
X4.Jonge.scheut..anthocyaankleuring,X4 Jonge scheut anthocyaankleuring,trait,factor,,
X5.Jonge.scheut..intensiteit.van.de.anthocyaankleuring,X5 Jonge scheut intensiteit van de anthocyaankleuring,trait,ordered,strong,
X6.Stengel..aantal.stekels..uitgezonderd.zeer.kleine.en.haarachtige.stekels.,X6 Stengel aantal stekels uitgezonderd zeer kleine en haarachtige stekels ,trait,ordered,many,
X7.Stekels..dominerende.kleur..als.bij.6.,X7 Stekels dominerende kleur als bij 6 ,trait,factor,,
X8.Blad..grootte,X8 Blad grootte,trait,ordered,large,
X9.Blad..intensiteit.groenkleur..bovenzijde.,X9 Blad intensiteit groenkleur bovenzijde ,trait,ordered,dark,
X11.Blad..glans.bovenzijde,X11 Blad glans bovenzijde,trait,ordered,strong,
X12.Blaadje..golving.van.de.rand,X12 Blaadje golving van de rand,trait,ordered,strong,
X13.Eindblaadje..vorm.van.de.schijf,X13 Eindblaadje vorm van de schijf,trait,factor,,Could be ordered. Not sure
X14.Eindblaadje..vorm.van.de.basis.van.de.schijf,X14 Eindblaadje vorm van de basis van de schijf,trait,factor,,
X15.Eindblaadje..vorm.van.de.top.van.de.schijf,X15 Eindblaadje vorm van de top van de schijf,trait,factor,,
X22.Bloem..aantal.petalen,X22 Bloem aantal petalen,trait,ordered,many,
X23.Bloem..kleurgroep,X23 Bloem kleurgroep,trait,factor,,Actually a color
X26.Bloem..diameter,X26 Bloem diameter,trait,ordered,long,
X27.Bloem..vorm,X27 Bloem vorm,trait,factor,,
X28.Bloem..zijaanzicht.van.het.bovenste.deel,X28 Bloem zijaanzicht van het bovenste deel,trait,factor,,
X29.Bloem..zijaanzicht.van.het.onderste.deel,X29 Bloem zijaanzicht van het onderste deel,trait,factor,,
X30.Bloem..geur,X30 Bloem geur,trait,ordered,strong2,
